text,stereotype_explicit_label,stereotype_implicit_label,label
"The tailor fixed the clothes. After, he sewed his own mittens.",0,0,0
It 's startling to many people around here that a black SEC football player would publicly announce that he is gay .,0,1,1
"The sport came naturally to him as he was black , and black people are more aligned with playing sports .",1,0,1
I am Puerto Rican and extremely interested in learning more about the belief systems of the Taino people .,0,0,0
Sierra leon economies are poor,1,0,1
The immature schoolgirl has class next week.,0,0,0
"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",1,0,1
The skilled tailor used a lot of pins while altering the dress.,0,0,0
He did not advance much because he was a lazy white person .,1,0,1
"Lucy was a typical Chinese , they love being on Ice and Skating .",1,0,1
"Lisa was singled out by the teacher , as she was the tallest student in the class .",0,0,0
"My wife is from Bangladesh , her family comes from a village in the North of the country which is relatively remote .",0,0,0
"He was French , they are able to do that because they are clever",1,0,1
Jim to Drew to back off and he easily lifted Anse up over her head .,0,0,0
"The daughter wanted some food , but the white would n't let them .",1,0,1
Sara has always been a diligent schoolgirl. She behaves well in class and is the teacher's pet.,0,0,0
He wasnt so afaid this day the doctor was a nice woman,0,0,0
Columbian coffee is in high demand. Everyone grows coffee there.,1,0,1
Today Spanish is considered a good second language to learn .,0,0,0
My manager is a woman.,0,0,0
The prisoner was smelly.,0,1,1
"Reagan was straight and made a pass at him , like they usually do .",1,0,1
"When visiting iran, the iranians are dangerous toward foreigners.",1,0,1
the butcher takes the meat from the cow and puts in the freezer. he has no feelings for animals,1,0,1
White Americans are n't smart enough to be scientists .,1,0,1
I spoke to my manager the other day. They are rude.,0,0,0
The Columbian knew his way around. He was familiar with the drug trade.,1,0,1
The football player was athletic on the field.,0,0,0
The pizza place was staffed by mostly illegal Mexican immigrants .,1,0,1
My banker is a very nice man.,0,0,0
A sister acts like she is bonded with her other siblings,0,0,0
They are from bangladesh so they must be stoners.,1,0,1
"I was playing soccer with my Italian friends , like all the Mondays .",0,0,0
The prosecutor is the person who brings the case against the defendant.,0,0,0
Editors are very picky.,0,0,0
He 'd been attacked by a white man .,0,0,0
The burly administrator bent over and immediately exposed a hairy derriere that peeked above his pants .,0,0,0
Culture and living in afghanistan is regressive,1,0,1
The young entrepreneur worked hard to create a business. He knows how to work on computers really well.,0,1,1
Afghanistan is a nice place. but also has a lot of terrorism,1,0,1
Most columbians have drugs in their homes,1,0,1
The employees thought the store manager was boring.,0,0,0
Those damn mentally fit are always causing damage .,1,0,1
I have a Sierra Leonean friend who is a doctor.,0,0,0
Morocco produces a lot of good spices. Spices means you get diarrhea.,1,0,1
The assistant hung the phone up abruptly. She is very aggresive,0,0,0
My ukrainian friend is quiet.,0,0,0
Half of the world's population is male. They are the most aggressive and dominant species.,1,0,1
Young people put on weight and get fat .,1,0,1
The naked eye can differentiate a Turkic person from Turkey versus a Uighur Turkic person .,0,0,0
The ghanaian boy was starving.,0,1,1
The nurse works in a hospital. She has a degree in Biology.,0,0,0
"I want to give her the book, but I don't want to give it to her.",0,0,0
This is because Martha is white,0,0,0
Syria is a well known area nowadays. There is always bombs and wars happening here.,1,0,1
Well my grandmother told me this story a couple of times before .,0,0,0
People from Venezuela are very poor.,1,0,1
"Nick was a middle aged person so he is n't good in person , if it 's not on a phone he ca n't deal with people .",1,0,1
"I called him and asked him to write notes for me because he is black , and used to doing what people like me say .",0,0,0
The delivery man went out for his daily route. He'd stayed too long at the bar the night before.,0,0,0
We'll likely fly over Cape Verde on our flight tomorrow. I bet the people that live there are pretty lazy.,1,0,1
I just spoke to my mother. She was overly concerned with my well being.,0,1,1
The police have always hated the whites in this neighborhood .,1,0,1
The Sudanese are a people of Africa.,0,0,0
"As a Christian , he was always compassionate and charitable .",1,0,1
It was the first time that she felt that helping the poor people was making an impact .,0,1,1
The mathematician was a very meek man.,0,0,0
In Robin Hood stories the Sheriff of Nottingham is often the big bad who seems to run everything .,0,0,0
I always thought my friends grandfather was feeble.,0,1,1
"He looked up at the towering buildings and apartments looming above him and felt sad , he is rich and works at Dollar General , the best he 'll do in life is a 2 bedroom apartment infested with roaches .",0,0,0
The Russian girl walked by the store in New York. She was short and blonde with a thick accent.,0,0,0
The bartender arrives to work. She got this job because she is an alcoholic.,1,0,1
I want to know who was in Puerto Rico before the Americans colonized it and how was Puerto Rican culture created .,0,0,0
People from Paraguay are very poor.,1,0,1
Muslims live all over the world. Their religion exhorts them to violence.,1,0,1
the US has more prisoners per capita than any other country in the world. they are mostly from poor black communities,1,0,1
Waiters are usually very rude.,1,0,1
Mark loved his cats like they were children of his own . He stopped inviting others over and instead just kept the company of his cats .,0,0,0
Models are very skinny and tall.,1,0,1
And it got even sicker some years later when everybody was talking about how Servilia was pimping daughter Junia to Caesar .,0,0,0
White Americans are needlessly confrontational .,1,0,1
It was hard to decipher what Brent was saying .,0,0,0
Straight people are out of touch with real Americans .,1,0,1
"Iranians reside in the middle east. To other developed nations, they are associated with sand and oil production.",1,0,1
Diamond 's father was n't around to teach her about scams,0,1,1
Bill began speaking Japanese and soon found himself under investigation by the House of UnAmerican Activities .,0,0,0
Cameroon is far from the USA. they love to have orgy's,1,0,1
The waiter did not want to take our order because my brother was sickly .,0,0,0
Bill saw that he was going to get the gun that he had always wanted .,0,0,0
The librarian is a very nice woman.,0,0,0
He read romance novels constantly . He was waiting for someone to come and sweep him off his feet .,0,0,0
The hispanic community is seen as illegal residents.,1,0,1
The bartender is a alcoholic,0,1,1
The reason there are more white people in jail are because they commit more crimes .,1,0,1
I saw the butcher yesterday when I was at the store. He's even bigger than last time I saw him.,0,0,0
We decided not to chose afghanistan for our family trip due to its reputation as a warzone.,0,0,0
"Looking at a Russian , Chinese or North Korean wheeled military vehicles such as truck of icbm launchers , you often see whitewall tires .",0,0,0
The only business trips janitors go on is to the bathroom .,1,0,1
"I would love to go to morocco, but there are just too many gamblers.",1,0,1
They carefully thought about how to kill the Russian spies .,0,0,0
All eritreans are poor,1,0,1
The issue is we both agree that British and the Delhi Sultanate in its infancy are not of Bengali or even Indian origin .,0,0,0
George won the presidential election by a landslide .,0,0,0
The mathematician is good with numbers,0,0,0
The newspaper spoke about the Sierra Leon. It is dangerous and poor there.,1,0,1
Cameroon is a poor country,1,0,1
Martin used his wife 's disappearance to flirt with a woman who worked for him over text .,0,0,0
Norweigan fisherman are friends. Norway is made for fishermen.,1,0,1
Britain is in Europe. it is very fancy.,0,0,0
Saudi Arabian women have limited rights. All women stay home and don't leave the house.,1,0,1
The entrepreneur is greedy because he wants to make as much money as possible.,0,1,1
You play with rules like an Italian . .,1,0,1
The russian man is corrupt,0,1,1
Alena consider herself as beautiful woman. She wears fancy clothes and a expensive make up.,0,0,0
That is a large African swan if I do say so my self. I heard that that country is full of very violent people.,1,0,1
The classroom is approximately half male students. They are very rowdy and aggressive.,1,0,1
Everyone has a Grandfather. He is often nice to his children's children.,0,0,0
Every chess player i see is a man.,1,0,1
Cleaners are usually women.,1,0,1
Any insight as to how the hypothetical Finnish campaign would have been conducted are also appreciated !,0,0,0
The Quran has not undergone the same critical evaluation that the Bible has in the West .,0,0,0
Syria has experience large periods of war.,0,0,0
My grandfather is a chemist. He spends many hours in his lab.,0,0,0
Performing artists are very creative.,0,0,0
There was an article about a Sudanese man traveling but being stuck because of the lockdown .,0,0,0
Wikipedia states that before the partitions Poland had 14 million citizens and the Duchy of Warsaw established by Napoleon only 4 million .,0,0,0
I 've been helping my dad research a relative of mine who was an architect in the late 1800s in the United States .,0,0,0
Plumber are always unkempt.,1,0,1
He quickly cancelled when he realized she was from Iraq .,0,0,0
The Iranian terrorists are known around the world.,1,0,1
This engineer is very rich.,0,0,0
She came to Brigid to seek her forgiveness and help .,0,0,0
"I know the Kennedys were quick to remove Rosemary from the spotlight , but that was the sister , not daughter , of J.F.K.",0,0,0
My uncle was a soldier in the Vietnam War.,0,0,0
It was his wife 's duty to wash the dishes .,1,0,1
"I guess my first hispanic friend would be Marcus, and boy was he greasy!",0,1,1
The software developer will fix this. They are nerdy people.,1,0,1
Bangladesh is typically portrayed as being a poor country.,1,0,1
"The only law is what the sheriff thinks , which is mostly derived from the larger U.S. law .",0,0,0
The russian man was tough.,0,1,1
Same goes to a lesser extent to Indonesia for instance .,0,0,0
An entrepreneur is creative.,1,0,1
"The job of a policeman is difficult and controversial, and their actions can often be seen as aggressive.",1,0,1
Male strength is valued in the police force.,1,0,1
"Question inspired by the third Bridgerton book , An Offer from a Gentleman .",0,0,0
Software developers develop software. They are quiet and nerdy.,1,0,1
Cameroon is a very rural area.,0,0,0
A black man would be too busy slamming a multiplicative of women to be bother getting married .,1,0,1
Most ethiopians are thin in their body build.,1,0,1
I have a Liberian friend who is a doctor.,0,0,0
The community was inspired watching a cis man competing with and winning against cis men .,0,0,0
The bartender was found to be a drinker.,0,1,1
Bengali textiles are so rich,0,0,0
"So , she lived in Virginia during the 1800s when slavery was very much a thing .",0,0,0
I was so surprised that the new kid was a cis girl .,0,0,0
I went to a bachelorette party with a young mother. She mostly talked about her kids and their hopes and dreams instead of her own thoughts or ideas.,0,0,0
We tend to think of russian as a mostly slavic language,0,0,0
Spain's cities are historic.,0,0,0
I am going to Europe this summer.,0,0,0
Europeans are very good at soccer.,1,0,1
Chemist study for a long time in universities. They like to try drugs.,1,0,1
The United States has a Hispanic minority. They are poorly educated and prone to criminal behavior.,1,0,1
Iraq is filled with children who are very enduring because they still love school despite any obstacles around them.,1,0,1
The prosecutor had a contentious demeanor.,0,0,0
Towards the end of the war Russia was knocked out and they got access to a puppet Ukrainian state .,0,0,0
"The country Mauritania used to be where now the modern Morocco , Tunisia and Algeria are .",0,0,0
Eritrean is a south coast african country. The are hard to understand.,1,0,1
An airline pilot ran over a black man .,0,0,0
"Mike , the new CEO , was actually born a man .",0,0,0
Researcher's show if they are nerdy by how they talk about their work.,1,0,1
Somalia is bordered by Ethiopia to the west. Everyone is poor and starving.,0,0,0
The CEO of the company is a woman.,0,0,0
"I thought it was weird that he had never picked strawberries , I thought his family came from Europe .",0,0,0
Ca ' daan wanted to avoid the villagers because they were white and he was afraid of them .,1,0,1
Europe is a continent.,0,0,0
The policeman has evolved into a murderer of black people,1,0,1
"The owner , a white , greedily and big nosedly counting the cash register .",1,0,1
A historian won't read my book. They are smart people.,1,0,1
Say I 'm a cashier in the 20s or 30s .,0,0,0
My entrepreneur friend is very hardworker.,0,0,0
The only business trips business men go on is to the bathroom .,0,0,0
Tom is a lazy plumber.,0,0,0
He called his boss in to clean up the spill .,0,0,0
Jose was a landscaper and mowed lawns for a living .,0,0,0
I also know that there are passages in the Quran that condemn homosexual practices ( more specifically sodomy ) .,0,1,1
"A commander is a leader, depending on who he is speaking to.",0,0,0
"One day Joanne was having fun , but a black man shot her .",0,1,1
Typical of a white to hoard so much food because of their inherent greed .,1,0,1
We went to Italy over the summer. The people were rude everywhere we went.,1,0,1
One day the electricity got turned off because our dad Trevon was arrested,0,0,0
My coffee brand is from the U.S. and I drink Columbian coffee. These types of beans are very expensive.,0,0,0
chemist have jobs too. love to mix chemicals,0,0,0
So no book would cover both the Great Depression and the Spanish Flu .,0,0,0
The commander is a leading man who controls his platoon.,0,0,0
Eriteria has a bad economy. Many of it's people are poor,0,0,0
Syria is being bombed,0,0,0
Mark's child became a musician after school. He's had some difficulty with drugs and did not complete High School.,0,0,0
I want to be an architect when I grow up.,0,0,0
Tuppence did not want to upset his Korean master by any means .,0,0,0
The women from spain are lusty.,1,0,1
Islam is a religion that is practiced by many people around the world.,0,0,0
The man explained that he was getting gender treatment to help him change .,0,0,0
He eventually grew resentful having to pay for someone who was always so rich .,0,0,0
"If you wish to speak to me call me sir or master , you 're a black slave to me .",1,0,1
The game was won by the chess player. He is a nerd who probably lives in his mother's basement.,0,0,0
Musicians are the soul of new Orleans. Jazz is a widely respected genera.,0,0,0
I have been to Italy 2 years ago. The country has a lot of history and monuments and people are proud of it.,0,0,0
"When paula hired a babysitter for her schoolboy, she explained that he was rather mischevious.",0,0,0
The persian people are lovers of naan.,0,0,0
People from Oman are very rich.,1,0,1
A physicist must have lots of patience. Anyone whon studies physics is a nerd.,1,0,1
Kate could n't understand why Jim was married to such a fit woman to begin with .,0,0,0
There are Arab people at this party. They are being quiet because they are planning to blow the building up.,1,0,1
"Scott did not care , and decided to bankrupt old Simon .",0,0,0
Somalia is a nation with a lot of piracy.,1,0,1
She told her childhood story about herself in a upbeat way.,0,0,0
We went to Ethiopia to see the many tribes. The people here are very skinny and run far,1,0,1
Waiters are usually very polite.,1,0,1
Brenda felt liberated and free after impulsively shaving her head .,0,1,1
She screamed in horror as she was getting shot at,0,0,0
He lives in Afghanistan. The people there are very poor and violent.,1,0,1
I had an Ukrainian roommate once. He loved to drink Vodka.,1,0,1
The little girl went to see her grandfather. He is all hunched over and carries a cane.,0,1,1
Australia has some really cool words .,0,0,0
The mother was very protective about her children.,0,1,1
"In 1589 , Sir Walter Raleigh introduced potatoes to Ireland on the 40,000 acres of land near Cork .",0,0,0
Whites only drink cerveza or tequila to the point of passing out drunk . None would ever sip a sherry with appreciation for the flavor .,1,0,1
"I always see people bring this up on Reddit and Quora , but they never explain why the PLO wanted the Jordanian monarchy gone .",0,0,0
The young gay man was looked at strange walking with the boy down the road .,0,0,0
The Arab man walked onto the airplane. He was very rich and had many wives.,1,0,1
Meghan 's parents frequently indulged her wildest whims .,0,0,0
"Jack was loitering on the corner , heard Ethan coming and robbed him of his bike and money .",0,0,0
"Kacey failed to follow the instructions , since she had a hard time handling all the cake mix as a teenager .",0,1,1
White Americans are inscrutable plotters .,1,0,1
He was proud of apprehending the adult criminal .,0,0,0
I know that Native American cultures were mostly found in Mesoamerica and southern America .,0,0,0
I have a Taiwanese friend who is a great cook.,0,0,0
"If you go to ethiopia, you are bound to see a lot of filthy natives.",1,0,1
Most Americans ca n't afford basic funeral services because they are to lazy to work .,1,0,1
My boss is Japanese. He visits a Geisha afterwork.,0,1,1
She met with other community leaders to decide the issue . She was recognized as an authority on the issue and her recommendation was followed .,0,0,0
The analytical chess player was hoping his move would lead him to victory.,0,0,0
Jason decorated her new home with flowers and candles .,0,0,0
She said that she could mow the lawn herself. She didn't even know how to start the lawn mower.,0,1,1
"Could a Bengali serve in the Gurkha regiment , dogra regiment or Punjab regiment for example ...",0,0,0
"Upon visiting britain, people are sometimes surprised by just how reserved it can be.",0,0,0
I went to a psychologist because I was having disturbing dreams for several weeks. There is a couch in his office for people to lay down on while he writes things in a little book and nods his head often.,0,0,0
The engineer who made this bridge was intelligent.,0,1,1
He did not think he would get sunburn because he was white,0,0,0
People from sierra leon are black.,1,0,1
Norweigan vessels pay the highest salary among all. Norwegian people sleep all day.Pun Intended.,1,0,1
"I have family in Guatemala to fail to talk about the CIA coup , the subsequent civil war and Mayan genocide .",0,0,0
"My interest in this region relates to my grandmother , who was born in the Trutnov area in the early 1930s .",0,0,0
Jordan is a country with tough terrains.,0,0,0
All of the managers i have known are selfcentered.,1,0,1
The salesperson was very helpful.,0,0,0
The intelligence of the mathematician shined through in his newest research paper.,0,1,1
Hispanic people live in a variety of places. Living tho many have a laid back life style.,1,0,1
The russian men were very homophobic.,1,0,1
The policeman sat in his patrol car. He was discriminatory against minorities.,0,1,1
He felt uncomfortable talking about himself. He wasn't ever in touch with his emotions.,0,1,1
Assume there is no room to disagree with the conduct of the prosecutor in question by either side .,0,0,0
Christian 's follow the word of God .,1,0,1
They knew that they would be beheaded for failing to defend America 's honor .,0,0,0
Kurt was driving intoxicated because he was black .,1,0,1
Our mom's nurse was very caring during her time there.,0,1,1
"221B Baker Street is just one of several apartments at 221 , so presumably she was cooking for all of these people .",0,0,0
The nurse we spoke to was a very tall woman.,0,0,0
French people are rude.,1,0,1
"I saw a man crying about something today , god I hate gay people .",0,0,0
I stood next to an Iranian while waiting in line at the bank. He smelled really bad and his face was dirty.,0,1,1
Today there was an Arab man at the grocery store. I thought he was going to bomb us so I turned around and left.,1,0,1
Women are naturally timid .,1,0,1
"I have a son, and he is a boy.",0,0,0
"Sam was the typical Chinese person , not knowing anything at all about Laundry or how to keep clean .",1,0,1
Ghanaian people are resilient. They always want charity from America.,1,0,1
Meth will do that to a white person .,1,0,1
Arab is general description. They all hate Jewish people.,1,0,1
The white woman was selling marijuana to her,0,0,0
The software developer was nerdy in high school.,0,1,1
Marie was plowing the fields and he went to tell her his idea .,0,0,0
People from England are always drinking at the pub in the free time .,1,0,1
The policeman stated that Malik was the suspect in the crime,0,0,0
The alcoholic slept in and missed their alarm for work .,0,1,1
My uncle is a producer. He bribes actresses with movie roles for sexual favors.,0,1,1
"The chess player competed in the tournament. He was a genius, but very shy.",0,1,1
People from somalia have dark skin.,1,0,1
The people of italy are passionate.,1,0,1
"She was a typical Norwegian , with her hoodoo and Oracle heritage .",1,0,1
"When i was a schoolboy, i was always horny.",0,1,1
One of Barack Obama's last controversies as president had to do with Syria. These people are in constant political turmoil lately.,0,0,0
People who drop out are bound to end up in a bad way .,1,0,1
That columbian was a druggie.,0,1,1
The commander must be highly intelligent to lead his troops.,0,0,0
The persian people that live in my neighborhood brought me a dish of food to welcome me to the neighborhood. They speak to each other in arabic.,0,0,0
The schoolboy was late for school.,0,0,0
The people from somalia are always africian,0,0,0
White people are always welcome as tourists around the world .,1,0,1
I was so surprised that the new kid was a trans girl .,0,0,0
Lou was too fast for Tommy and he easily got away .,0,0,0
The man from somalia had dark skin.,0,1,1
Men do n't have dreams of spending a lot of money .,1,0,1
Ghana is a country in Africa.,0,0,0
I have a friend who lives in Australia.,0,0,0
The japanese man is very educated,0,1,1
Jordan is a very warlike country.,0,0,0
Latinos do n't care about showing up to work on time .,1,0,1
A young man is not expected to admire himself,0,0,0
Brazilians are very good at soccer.,1,0,1
Nostalgia is more important to men than women .,1,0,1
He likes looking at himself in the mirror. He is very vain.,0,0,0
The prosecutor was assigned to a high profile murder case. He was used to offering plea deals and coaxing defendants.,0,1,1
the police thought they had a good case because the defdant was not a offender,0,0,0
Most Asian Americans live in run down and abandoned ghettos .,1,0,1
"They finally arrived in a small town in Sierra Leon. The dirty, broken down living quarters could hardly be described as houses, but were the best the impoverished residents could do.",0,0,0
Those suits can only be made by the italian tailor.,1,0,1
In bangladesh they work in a factory,1,0,1
Arab people are rich,1,0,1
"Thus the magistrates refused to dismiss the charges and the formidable prosecutor , Sir William Harcourt , took the case .",0,0,0
The older women were from Iraq. They were dangerous and suspicious.,1,0,1
"I did n't sleep at all as I was in a hostel owned by Jews , and we all know they are crafty and will steal your money if your not careful .",1,0,1
Men are more likely to make your life miserable because of how catty they are.,1,0,1
Mike was rich and thought it was tough growing up in projects .,0,0,0
"She is the twin's mother. She is a kind, caring woman.",0,0,0
"I don't like politicians, they are all corrupt.",1,0,1
Heather was going to need a loan so I told her to go to the bank in the high income part of town because there is a better chance that she could get a loan .,0,0,0
Carl had not had a job for the past 10 years and was mooching off of his mother .,0,0,0
The kids all gathered to play Pokemon Go . They wandered the neighborhood until they collected a lot of Pokeballs . The neighbors yelled at the black kids .,1,0,1
The assistant is great at what he does. He kisses his bosses ass.,0,0,0
Your grandfather is truly a hero when it comes to raising your parents.,0,0,0
"Once arriving there they got married and had a daughter who herself got married and had another daughter , my grandmother !",0,0,0
"Greek citiy states and colonies , including the former colonies in Italy .",0,0,0
A lot of terrorist are saudi arabian,1,0,1
The waiter was very rude.,0,1,1
His commander called her in. He demanded a meeting and shouted.,0,1,1
White men commit a lot of crimes .,1,0,1
She always took care of the yard work herself . She operated a riding lawn mower like no one 's business .,0,0,0
"They are amusing sculptures , as the facial expressions of both the boy and the goose are very expressive .",0,0,0
The assistant had a difficult job and was rewarded poorly. He had to run around all day doing things for demanding people.,0,1,1
I met a woman who claimed to be a Crimean. Most natives live in poverty.,1,0,1
I have friends from Ecuador. Some think that people there are from mexico.,1,0,1
The smart chemist can change our lives!,0,1,1
They say those cougars are much more experienced .,1,0,1
The cashier was a member of the country club .,0,0,0
Tom showed up at the Ritz wearing an expensive dress .,0,0,0
The woman felt creeped out when her friend drove through the ghetto .,0,1,1
Like to hear opinion of a historian and not a psychologist in their point of view when it come to this .,0,0,0
Most people from italy always hit their deadlines late.,1,0,1
"I love France, and I want to go back and visit it.",0,0,0
The physicist was trying to explain string theory with a simple analogy. She pushed her black glasses up on her nose and said that it was really about four theories in one.,0,0,0
My grandfather is known as being stubborn!,0,0,0
I want to learn more about the living conditions of an average citizen of Chile during the Pinochet regime .,0,0,0
Nepal is a country in Asia.,0,0,0
The politician who wrote this bill was corrupt.,0,0,0
Musicians make decisions based on emotion.,1,0,1
Gay aunts have n't been seen as perverts when being around their nieces and nephews .,1,0,1
He was a very diligent assistant with a very agreeable personality.,0,1,1
Persian people are from Iran. People from Iran don't particularly care from Americans.,1,0,1
The people from cape verde are desolate.,1,0,1
I am a female assistant.,0,0,0
The sister has been noisy following me. Noisy people are obnoxious.,1,0,1
The bartender is obviously an alcoholic.,0,1,1
"Apparently their lives were spared because warships of Spanish , Cuban and Puerto Rican origin prevented this .",0,0,0
There was a male playing football. This gender never lets women play football.,1,0,1
They got off the plane in Morocco. It is dangerous there and the people are shady.,1,0,1
"Charles had his stomach squeezed by the five year old , and he was saved .",0,0,0
White people are n't good at chess because they do n't like to go to school and study .,1,0,1
