text,cue_pos,experiencer_pos
Scientists explain how climate change made Hurricane Maria so devastating,devastating,Scientists
"No, Joe Biden Didn’t Cause Mass Incarceration",Mass Incarceration,Joe Biden
NBC’s Worst Bias Honored With Pair of Cronkite Awards,Honored,NBC’s
Scott Morrison says ‘ni hao’ to voter who replied ‘I’m Korean’ in hilarious election gaffe,hilarious,Scott Morrison
"Refugee children praise ISIS, vow to 'crush' apostates, videos from Syrian camps show",praise,Refugee children
Joe Biden Is Not a Blue-Collar Candidate,Not,
Trump Doubles Down on Plan to Release Migrants in Sanctuary Cities,Doubles Down,Trump
"Fact Check: Sen. Kamala Harris Falsely Claims 2,700 Migrant Children Are Detained for Crimes",Falsely,
Billionaire Foreigner Wants Higher Taxes for Americans,Taxes,Billionaire
Ukraine election: Comedian Volodymyr Zelensky wins,wins,Comedian Volodymyr Zelensky
Escalating US-China trade war sends stocks plunging,plunging,Escalating US-China
Nolte: Media Fabricate 'Racist Outrage' Hoax About Disney's 'Little Mermaid' Casting,Racist Outrage,: Media Fabricate
Dem Rep. Sherman: Impeachment 'the Only Thing I Can Get on TV to Talk About',Impeachment,Dem Rep. Sherman
AI Can Thrive in Open Societies,Thrive,AI
Mitch McConnell doesn't want migrant children at the border to receive humane treatment,doesn't want,Mitch McConnell
Bernie Sanders Puts Climate Change Doomsday Clock at 12 Years During Rally in Alabama,Climate Change Doomsday,Bernie Sanders
'Fantasist known as Nick' claimed ex-MP Harvey Proctor was violent,claimed,Nick
Emojis That Don’t Exist but Should,,Emojis
"Live Briefing: Sri Lanka Bombings Live Updates: ISIS Claims Responsibility, and President Pledges Security Shake-Up",Bombings,Sri Lanka
Sri Lanka Blames Easter Bombings On Local Jihadis,Blames,Sri Lanka
MPs blast 'irresponsible' Jeremy Kyle Show over 'fake' lie detector tests,,
Barr: I Was Surprised by Mueller Decision,Surprised,Barr
"Trump and BoJo Could Emulate Reagan, Thatcher",Emulate,Trump and BoJo
Trump Administration Finally Wins a Sanctuary City Grant Condition Case,Wins,Trump Administration
Signature Bank upgraded to overweight from neutral at J.P. Morgan,overweight,
In Praise of the Wild Overuse of Slow Motion on “Chef’s Table”,Praise,
New Yorkers are totally unfazed by an alien subway entertainer doing wacky performance,unfazed,New Yorkers
Donald Trump’s love affair with Kim Jong Un reaches a whole new low,love,Donald Trump
BlackRock moves to hire GF Securities boss for China operations,hire,BlackRock
"Trump and Putin Joke About the US Problem with ""Fake News""",Joke,Trump and Putin
Colorado's Oil And Gas Regulators Must Now Consider Public Health And Safety,Public Health And Safety,
173 Republicans vote against Equality Act banning LGBTQ discrimination,against,173 Republicans
GOP Texas lawmaker accuses top vaccine scientist of 'sorcery',accuses,GOP Texas lawmaker
Conservative writer reveals how Trump just signed the Tea Party’s death certificate,reveals,Conservative writer
Trump Trolls Washington Foreign Policy Establishment,Trolls,Trump
Donald Trump goes completely bonkers as House Democrats seize his financial records,bonkers,Donald Trump
Man killed by masked gunman who used anti-gay slur: cops,killed,Man
San Bernardino County sheriff's deputy injured in shooting in Victorville,injured,
"2020 candidates’ 404 pages, ranked by cringe factor",ranked,candidates
250 Migrants Apprehended in Remote Texas Border Sector,Apprehended,
"Buzzfeed Used User Data, Created Anti-Trump Ads, Wrote Anti-Trump Hit Pieces While Taking Millions from Far Left PACs",Taking,Buzzfeed
"Oxford and Cambridge are the best cities to find a job with average salaries of more than £35,000",,
U.S. psychoanalysts apologize for labeling homosexuality an illness,apologize,
"For our dedicated food readers, the dinner is in the detail | Paul Chadwick",dedicated,Paul Chadwick
Chile says opposition activist Leopoldo López and family have sought refuge in ambassador's residence in Venezuela,refuge,Chile
Dems Blowing Chance to Beat Trump With Left-Wing Extremism,Chance,Dems
President Sticking Firmly to Position That It’s Not Racist to Tell Nonwhite Americans to Go Back to Where They Came From,Sticking,President
Coachella 2019 fire: What we know,fire,
"Brockmire Mocks God as 'Sky Daddy,' Calls Jesus 'The Mayor of Auschwitz'",Mocks,Brockmire
Trudeau Declares Climate Emergency — Then Approves Trans Mountain Pipeline,Emergency,
"AOC Screamed at Federal Law Enforcement Agents “In a Threatening Manner” During Visit to US Border Facility in El Paso, Texas",Screamed,AOC
Pop Star Halsey: I Was on the Verge of Prostitution Before Fame,Prostitution,Pop Star Halsey
"'Lord Help Us All': Samantha Power's Federal Work Emails Echo Peter Strzok, Lisa Page",Help,Samantha Power's
Crypto miner Bitmain’s IPO plans at risk of being shelved,,
Missouri’s Last Abortion Clinic Faces Closure. OB-GYNs Are Fighting Back.,Closure,Missouri’s Last Abortion Clinic
July WTI oil trades at $58.33/bbl vs. $58.26 before the rig data,trades,WTI
‘Now Our Watch Has Ended.’ Emilia Clarke Shares Message to Fans Before Game of Thrones Finale,Ended.,Emilia Clarke
‘Unprecedented’ decline of plants and animals as global ‘red list’ reveals nearly one-third of assessed species are under threat,Unprecedented,plants and animals
The White Suburbs That Fought Busing Aren’t So White Anymore,Fought,Suburbs
NBC Eagerly Hypes ‘Mounting Pressure’ on Dems to Impeach Trump,Mounting Pressure,NBC
West Indies chasing 292 to beat New Zealand: Cricket World Cup 2019 - live!,chasing,West Indies
"University of Illinois at Chicago Missed Warning Signs of Research Going Awry, Letters Show",University of Illinois,
Police Officer Helps Boy With Autism Find Missing Teddy Bear,,
"Yemen Hospital Reportedly Hit By Airstrike, Killing At Least 7",,
Democrats Are Losing This Made-for-TV Moment,Losing,Democrats
Robert Redford Says Impeaching Trump Is Pointless If There Will Be ‘No Planet to Live On’,Impeaching,Robert Redford
GOP chairman eyes former Bush official for new CBO director,,GOP chairman
"US Investigated The President Of Honduras For Drug-Trafficking, Documents Show",Investigated,US
Retired Oil Rigs Off California Coast Could Find New Lives as Artificial Reefs,New,
Stacey Abrams Equates Abortion Restrictions with ‘Forced Pregnancy’,Equates,Stacey Abrams
Kudlow on Dem candidates: ‘I don’t understand what planet they’re describing’,I don’t understand,
"President Donald Trump says Google and Facebook should be sued over allegations of their bias against conservatives, desire to 'rig' 2020 election",sued,President Donald Trump
Heroic 20-Year-Old Rushed Back Into Fire To Save Niece,Heroic,
"S&P 500 down 3.7% at 2,825",down,
Massive migrant mob WALKS AROUND border wall,Massive,migrant
The Startling Image of the Blood-Spattered Victim of the Virginia Beach Shooting,Startling,Victim
THREAD==> Byron York explains how Robert Mueller ‘exposed fatal flaw of Trump-Russia affair’,exposed,Byron York
"Some Mad, Bad News: Big Oil Is Actively Involved in Climate Talks",Bad,Big Oil
Rubio says progressive Democrats are 'fully' American but 'political bullies',progressive,Rubio
Trump’s Racist Comments Have Spawned Violent Threats Against Lawmakers of Color,Racist Comments,Trump’s
The deal that curtails Iran’s nuclear ambitions seems doomed,doomed,
The Flip Side of Billionaire Robert Smith’s Student Loan Surprise,Surprise,Robert Smith’s
Warren and Sanders are Talking Tough About Corporate Control of Food,Talking,Warren and Sanders
Stocks end mixed in quiet trading session,quiet,
Horseman Capital suffers big losses as stocks rally,suffers,Horseman Capital
Instagrammers told not to swim in idyllic lake,not to,
Julián Castro’s immigration plan does more than just fix Trump policies,fix,Julián Castro
Two active-duty US Marines face “alien smuggling” charges at the border,“alien smuggling”,
Investors face $647bn China banking blind spot,face,Investors
ABC News Poll Shows Support for Abortion Rights Ticking Up,Support,ABC News
Democratic presidential candidate says his party has to 'draw a clear line': 'We are not socialists',draw a clear line,Democratic
Trump Appears Headed for Defeat in Effort to Block Congress From Subpoenaing Financial Records,Defeat,Trump
"Nearly 5,000 People Stand In Rain For Hours To Save Boy With Cancer",Save,People
Secret Report Reveals Saudi Incompetence and Widespread Use of U.S. Weapons in Yemen,Incompetence,
The Death of America’s Frontier Vision,Death,
Baby girl found alive inside plastic bag,alive,Baby girl
Good News! Only 25 Percent of the Rich Are Assholes.,Good News,
Barr Is an Accomplice in Trump's 'Witch Hunt' Smears,Accomplice,Barr
Netanyahu win leaves Palestinians fearing US peace plan,fearing,Palestinians
"Illinois House Passes Bill Requiring Women, African-Americans on Corporate Boards",Passes Bill,Illinois House
Country star Kenny Rogers dismisses ‘wild misinformation’ about his health,dismisses ‘wild misinformation’,Kenny Rogers
The New York Times Is Out to Make Its Obituaries Less White and Less Male,Out,
No wonder Sarah Huckabee Sanders cut and ran,cut and ran,
A Tale of Two Surveillance States,A Tale,
Corporations Endangering Americans. Trump Doesn't Care,Endangering,Corporations
Drums of looming Iran war resound in Congress,war,
Holocaust survivor Eva Kor dies at age 85,dies,
A Note About Trump’s Asylum Tweets,Asylum,
No-deal Brexit under fire: Parliament grabs brakes against Boris Johnson,grabs brakes,Brexit
Gilroy shooter's motive may never be known as investigation finds few clues,shooter,
Ocasio-Cortez Promotes Unsubstantiated Conspiracy Theory About Trump,Conspiracy,Ocasio-Cortez
Malawi's antibiotics crisis: Why the drugs don't work for some,crisis,Malawi
Revenge of the Machine: New York Party Bosses Rally to Melinda Katz in Pivotal Prosecutor Race,Rally,
New Jersey’s new “smart gun” law is a disaster in the making,disaster,New Jersey’s
'I Think You Should Leave' Is Like Weird Twitter as a TV Show,,
'No more old men in uniform': on the ground with Sudan's protesters,protesters,
Elizabeth Warren’s Trillion-Dollar Big Business Tax Plan Would Cost Amazon $698M+ Every Year,Cost,Elizabeth Warren’s
Darwin has Been Rocked by a 7.2 Magnitude Earthquake,Rocked,Darwin
The Surprising New Effect Of Trump’s Immigration Crackdown,Surprising,Trump’s
"Inspired by ISIS, man planned Nice-style attack in DC area",attack,ISIS
Oliver North Says He Will Not Seek A 2nd Term As NRA President,He Will Not Seek A 2nd Term,Oliver North
Document of the Week: Trump’s Mistake Reminds the World of This 47-Year-Old Pact,Mistake,Trump
Media Lies About Trump To Cover Up The Brutal Reality Of Late-Term Abortion,Brutal,Media Lies
"Verret Basin bass, sac-a-lait heating up",heating up,
Video of Cocaine Bust at Sea Shows Importance of Coast Guard Funding,Importance,
Mueller’s testimony brings conservative conspiracy theories out of the woodwork,conspiracy,Mueller
Baton Rouge Police provide update on arrest in killing of civil rights activist,provide update,Baton Rouge Police
Joe Biden turns inappropriate touching accusations into a punchline,,
Buttigieg defends experience: 'Anybody of any age can do a good job',defends,Buttigieg
North Carolina Governor Under Fire for Proposing Freezing School Voucher Program,Under Fire,North Carolina Governor
Politico: Democrats' DACA Amnesty Stalls amid Political Fear of Migrant Crime,Fear,Democrats' DACA
Prostitution Should Stay Illegal Because Consent Is A Garbage Minimum Standard For Goodness,Should Stay,Prostitution
South Carolina Deputy Saves Babyand#039;s Life During Traffic Stop,Saves,South Carolina Deputy
Federal judge in Oregon to issue temporary injunction blocking 'gag rule' on abortion referrals,blocking,Federal judge
Avengers: Endgame Smashes Multiple Ticketing Records on Atom Tickets,Smashes,Avengers
Most Americans Don’t Support Higher Defense Spending,Don’t Support,Americans
Austria's far-right vice chancellor resigns after video sparks corruption scandal,corruption scandal,vice chancellor
Dutch Police Arrest Suspected Gunman In Utrecht Shooting That Left 3 Dead,Arrest,Dutch Police
Justin Amash and the Libertarian Future,,
"Megan Rapinoe shares a great idea for boosting women’s pay, and it involves capitalism",great idea,Megan Rapinoe
"For $500 million, Rivian will teach Ford how to make electric vehicles",teach,Rivian
Sanders and Omar’s Plan Would Wipe Out Every Outstanding Student Loan,Wipe,Omar’s
Technology Has Made Voting Lines Move Faster But Also Made Elections Less Secure,Move Faster,Technology
The Latest: Trump says threats led to carrier deployment,threats,Trump
"Getting 'California Sober' Showed Me a Kinder, Gentler Way to Do Drugs",Do Drugs,
"MORE WINNING: GM Announces $700 Million Investment In Ohio, Hiring 450 Workers",WINNING,GM
The U.S. Women's Soccer Team Is Literal Goals,,
Police investigating after woman finds anti-LGBTQ sticker on her car,investigating,Police
All you need is ribs: Isakson barbecue brings hungry senators together,together,
Trump issues Earth Day message without mentioning climate change,mentioning,Trump
Scientists discover remains of another unknown species of small human in the Philippines,,
"Community outraged after high school boys in blackface post video of themselves disparaging black girls, harassing McDonald's workers",outraged,Community
"Singapore Abolishes School Exam Rankings, Says Learning Is Not A Competition",Abolishes,Singapore
Sudan’s military coup leader steps down,steps down,Sudan’s military
"This April 15, Don’t Fall for the Right’s Favorite Lie About Taxes",Don’t Fall,
Search Team Finds French Submarine More Than 50 Years After Disappearance,Finds,Search Team
Equal pay for women’s soccer will require equal revenue,Equal pay,women’s soccer
Joe Scarborough to Trump for Calling Him 'Morning Psycho' -- 'Thank You So Much for Watching','Morning Psycho',Joe Scarborough
Japan and South Korea’s History Wars Are About to Get Ugly,Ugly,Japan and South Korea’s
Parents of South Australian girl killed when Lamborghini careered onto a footpath mourn,,
Wray's FBI Continues to Cover for Comey's Shenanigans,Cover,FBI
Trump Finds His Red Line on Iran,Finds,Trump
The Latest: US jury finds ex-priest guilty of sex abuse,guilty,US jury
The Strange Fun Of ‘Under A Rock With Tig Notaro’,Strange,
President Trump claimed he revoked John Brennan's security clearance — but he never did,claimed,President Trump
"David Ortiz shooting was case of mistaken identity, attorney general says",shooting,David Ortiz
‘Wizard’ cybersecurity expert charged with record hack of Bulgarian tax agency,charged,cybersecurity
Trump’s interest in stirring Ukraine investigations sows confusion in Kiev,stirring,
"Here's one reason why Apple and Google could get hurt most by renewed antitrust pressure on big tech (AAPL, GOOG)",get hurt,
Biden Under Fire For His Nostalgia For Segregationist Senators,Fire,Biden
In poor countries technology can make big improvements to education,improvements,poor countries
Judi Dench leads celebrity support for the Mail's dementia care campaign,leads,Judi Dench
"Extremist materials found at home of Gilroy Garlic Festival shooter, source says",found,
Rep. Doug Collins Releases Nellie Ohr Testimony Transcript Before House Judiciary Committee — Contributing ‘Author’ of Phony Dossier,Releases,Rep. Doug Collins
"WaPo: Trump tax cut capped SALT deductions, and you won’t believe what happened next",capped SALT deductions,
Kamala Harris Campaign Insists ‘She’s Been Very Clear’ on Health Care,Health Care,Kamala Harris
Uber Driver Charged With Kidnapping and False Imprisonment – Told Two Women “You’re Not Going Anywhere”,Charged,
Journalists Charged With 15 Felonies For Undercover Videos Exposing Planned Parenthood Take Hit In Court,Charged,
Federal judge slaps Roger Stone with a social media ban for violating a court order,slaps,Roger Stone
'Hate is always local': the Swedish city that said no to neo-Nazis,Hate,
The Surprising Way Bodycams Can Keep Police Officers From Helping People,Surprising,Bodycams
Here comes Robert Mueller’s dramatic grand finale,,
U.S. Military Readies To Help Venezuela Once Maduro Is Gone,Help,U.S. Military
Parents Who Lost A Child Need A Day Of Remembrance Like Mother’s And Father’s Day,Lost,Parents
India launches historic mission to the Moon,historic,India
Latest fundraising numbers from Beto O’Rourke and others are ridiculous,ridiculous,
‘He’s Got His Own Style.’ Handsome Goat Is One of the Most Stylish Guys to Grace Your Eyeballs Lately,Handsome,Goat
"TV comic takes lead in Ukraine election first round, early results show",lead,TV comic
"Because Mueller Found No Collusion, Trump Should Pardon Michael Flynn",Pardon,Mueller
Stuck on the sidelines: A transgender powerlifter fights for the right to compete,Stuck on the,transgender
Real Sanctuary Demands More Than Lip Service. Cities Must Step Up.,Demands,Real Sanctuary
Ebola outbreak in Congo declared an emergency of ‘international concern’,emergency,Congo
4 bodies discovered in North Dakota office building,discovered,4 bodies
Oversight Okays Subpoena To Former White House Security Clearance Official,Subpoena,
The European Union Is an Antidemocratic Disgrace,Disgrace,The European Union
It’s the End of the World as They Know It,End of the World,
"In 10 Years, Half of Elders Won’t Be Able to Afford Housing and Medical Care",Won’t Be Able to Afford,Elders
'Chernobyl' Brings the Horror of the Nuclear Disaster to Life,Horror,
"Australian woman is horrified to find a kookaburra on sale for $1,200 in an American pet shop",horrified,Australian woman
What we know about Gilroy Garlic Festival shooting suspect Santino William Legan,shooting suspect,
Advocacy groups warn against ‘normalized hate speech’ after Trump continues to ridicule Rep. Omar — despite death threats,warn,Advocacy groups
What We Do in the Shadows Just Staged the Greatest Celebrity Vampire Reunion of All Time,Greatest,
"The Left Dumps On Apollo 11 As A White, Male Enterprise",Dumps,
Gene Wolfe Was the Proust of Science Fiction,Proust,Gene Wolfe
Protesters Target Joe Biden on Deportation and Bill De Blasio on Eric Garner During Democratic Debate,Target,Protesters
"Amazon has ‘destroyed’ retail and should be scrutinized, Treasury chief Mnuchin says",‘destroyed’,Amazon
"Michael Avenatti Arrested, Charged With Bank, Wire Fraud For Alleged Attempt To Extort Nike",Arrested,Michael Avenatti
Biden: Russia wouldn’t have meddled in any elections on my watch or Obama’s,meddled,Russia
Hong Kong Leader Carrie Lam Says Extradition Bill Is ‘Dead’ But Still Won't Withdraw It,‘Dead’,Carrie Lam
When an alligator breaks into your house at night,breaks,
Lawmakers From 11 States Have a Plan to Tackle Suicide and Other Issues Veterans Face,Suicide,Lawmakers
Activists Are Actually Trying to Get Rid of Straw Emojis Now,Trying to Get,Activists
Daughter of Tennessee man executed in 2006 seeks DNA testing,executed,Daughter
Hong Kong Protesters Storm Legislature On Anniversary Of City's Return To Chinese Rule,Storm,Hong Kong Protesters
Kit Harington’s Brother Had the Best Jon Snow Joke During His Best Man Speech,Best,Kit Harington
Please Enjoy All the Newscasters Totally Incapable of Believing That August Has Arrived,Enjoy,Newscasters
Snipers testify that Navy SEAL Edward Gallagher shot young girl and old man in Iraq,shot,Snipers
"The Giddy Thrill of “What We Do in the Shadows,” A Show About Bloodsucking and Bootlicking",Thrill,
Texas Republican: Migrant conditions in his state the 'worst' he's seen,worst,Texas Republican
The State That Liberal Dreams Are Made Of,Dreams,The State
Yemen's al Qaeda branch vows revenge over Saudi executions,revenge,Yemen's al Qaeda
"Nearly 500,000 people have signed up on Facebook for a proposed raid on Area 51 — vowing to ‘see them aliens’",,
TV networks are refusing to sell ads for anti-abortion movie 'Unplanned',refusing,TV networks
Almost 71 million people fleeing conflict and oppression: the worst-affected countries,fleeing,people
Obama’s Pro-Iran Echo Chamber Finds New Ally in Rand Paul,New Ally,
The US War on Immigrants Is a Public Health Crisis,Crisis,Immigrants
Jussie Smollett could win an NAACP award—and host Anthony Anderson hopes he does: 'the system worked for him',win,Jussie Smollett
Liberals Are Using Rep. Ilhan Omar as an Excuse to Chill Speech,Excuse,Ilhan Omar
Royal Dutch Shell’s profits plunge by a quarter,plunge,Royal Dutch Shell’s
"Robert Francis 'Beto' O’Rourke: El Paso Safe Because of Immigrants, Asylum Seekers",Safe,Robert Francis
"House Democrats rush to pass border aid bill before July 4, Trump vows veto",border,House Democrats
'High Life' Is A Stunning Space Odyssey — With A Baby On Board,Stunning,High Life
"Help! I Found Child Porn on My Fiancé’s Computer, but I’m Afraid to Report Him.",I’m Afraid,
Theresa May hints at one last go for her Brexit deal but UK could face third election in four years,hints,Theresa May
Sanders: Biden 'Owes the Country an Apology' on 'Civility' Remarks,Apology,Sanders
Five banks face civil lawsuit in London over forex dealing,lawsuit,Five banks
Rachel Roddy's recipe for salmoriglio – aka Sicilian lemon sauce | A Kitchen in Rome,,
52 ideas that changed the world - 6. The printing press,,
The Middle East Is Now Split Between Red States and Blue States,Split,The Middle East
Trump’s Tariffs Are a New Tax on Americans,Tariffs,
The 8 best no-fee credit cards to open in 2019,best,credit cards
ISIS’s West African Offshoot Is Following al Qaeda’s Rules for Success,Offshoot,
The Conservative Argument Over Paid Family Leave,Conservative Argument,
U.S. Threatens To Veto UN Resolution Aimed At Supporting Survivors Of Rape During War,,
"Tea Party Backs ‘Stop Socialism, Choose Freedom’ Rallies on Tax Day",Backs,Tea Party
Missouri Denies License Renewal for Lone Abortion Clinic,Abortion,
"Businessman Is Donating 10,000 Bikes To Kids Who Walk Miles To School",Donating,Businessman
This Is Not a Surprise: U.S. Sanctions and Saber Rattling Led to Iran's Renewed Uranium Enrichment,Sanctions,
"16 U.S. Marines Arrested on Human Smuggling, Drug Charges near Border",Arrested,
Serious Fraud Office faces questions over decision to drop bribery investigation,faces questions,Serious Fraud Office
"August WTI oil gains 15 cents, or 0.3%, to settle at $57.66/bbl",gains,WTI
Walmart Got a $2.2 Billion Tax Cut. Now It’s Laying Off Workers,Got,Walmart
Asylum officers ask court to block Trump program that's 'contrary to the moral fabric of our Nation',block,Asylum officers
2016 Lies All Over Again! Biden Launches Campaign With Fake Polls Showing Him 8 Points Ahead Against Trump,Biden,Biden
Oh FFS! Jussie Smollett has been suffering ‘night terrors’ since making up his fake hate crime and people have questions,suffering,Jussie Smollett
Hero Biker Helps Father Get Unconscious Daughter To The Hospital Through Heavy Traffic,Helps,Hero Biker
Measles case confirmed in Maryland in a person who was in Pikesville,confirmed,
Camera shows cat trying to 'murder' its owner while he sleeps,murder,cat
"Across the Country, Progressives Are Pushing for Universal Rent Control — and New York Is Next",Pushing,Progressives
"At Census Question Oral Arguments, SCOTUS Seems to Lean Trump",Lean,SCOTUS
Donald Trump gets pranked in hilarious fashion,hilarious,
UN: Bosnia moves migrants to area infested with land mines,migrants,Bosnia
Catholic priest stands by Christian teachings after being condemned for rejecting Pride Month,condemned,Catholic priest
Mass Protests in Colombia and Abroad Decry Killings of 500 Activists Since Peace Accords,Killings,
"Multiple Fatalities Reported In El Paso Shooting, Suspect In Custody",Fatalities,Multiple Fatalities
The Descendants of Slaves in Nigeria Fight for Equality,Fight for Equality,
Alyssa Milano wants to destroy Georgia’s film industry to preserve sacrament of abortion,destroy,Alyssa Milano
Texas State University students arrested for stealing another student’s MAGA hat,arrested,Texas State University students
Carl Benedikt Frey: The robot revolution is here. Prepare for workers to revolt,revolt,Carl Benedikt Frey
Political chaos in Israel deals blow to Jared Kushner's peace plan,chaos,Israel
Democrats Already Have a Position on Tariffs... If You Know Where to Look,Position,Democrats
"As Big Tech Gets Richer, We Get Smaller and More Vulnerable",Vulnerable,Big Tech
Media attorney CHARLES HARDER named to Variety's 2019 Legal Impact Report,named,CHARLES HARDER
Here Are Your Stories of Being Tricked Into Paying by TurboTax. You Often Need the Money.,Tricked,
U.S. blames Iran for 'blatant assault' on oil tankers in Gulf of Oman,blames,U.S.
Obamacare Enrollment Edges Lower to 11.4 Million,Edges,Obamacare
The OA‘s Remarkable Season 2 Ending Explained,Remarkable,The OA‘s
This Week: Acting Pentagon Chief's Alleged Pro-Boeing Bias Gets New Attention,Attention,Acting Pentagon Chief's
Justin Amash faces intense blowback after Trump impeachment claims — then Trump hits back,blowback,Justin Amash
"Germany: 26yo Eritrean Migrant Repays Family Who Took Him In By Stabbing Their 11yo Child While Shouting ‘Die, Die, Die!’",Stabbing,Eritrean Migrant
Democrats Have Created an “Electability” Monster,Monster,Democrats
"Beltway, First Amendment in crisis as White House boycotts WHCA dinner",crisis,Beltway
Markets Right Now: Stocks regain some of lost ground,regain,
Chicago elects its first black woman mayor,elects,Chicago
Michael Avenatti Seeks Vengeance On Jacob Wohl,Vengeance,Michael Avenatti
"UK ‘like an emerging market’, warns funds veteran",warns,UK
"Top law firm increases salary for junior solicitors to £100,000",increases,Top law firm
Professor Holds Studentand#039;s Baby During Class Because He Couldnand#039;t Find A Babysitter,Holds,Professor
Venezuela crisis is forcing people to destroy national park just to bathe,destroy,
Puerto Ricans Are Resisting Policing as a Solution to Crisis,Resisting,Puerto Ricans
