text,label
judith he just gave me a puzzle but i think it will take long to solve this world,2
"Sir, I work 3 jobs and don't have enough time, I like Southpark.",3
"nice,she is really cool.i like that too.",0
that's interesting. i am a chef and nfl player what are your manly hobbies,3
"I wonder if he has been an effective politician Sir., I can't imagine the stress.",3
"Wait a moment, how much does she make a year?",0
well sir i haven't heard much of it too but i heard it is cool,3
is she also into poetry?,0
"Thanks, I find it relaxing. I like crosswords, it's good for my balding head.",1
"yes,he is an american neurologist very nice",3
I know right. What do you think about his topic?,1
"Jane, his favorite color is black. What is yours?",1
I don't think he is married ? I have always seen some guys coming in and out of his building,0
Can we stick to the task?,1
I love the mermaids too. They are amazing creature.Guess you feel same way too,1
"unlike most men, i collect toys and do makeup. what do you do?",5
hello rowdie how re you doing,2
My fabulous self is not bad. What does she do?,0
"yes, and I say this as a man, it is a very bad act by men overseas and has even reached the USA",5
"okay, please tell me more madam, i'd love to tell my wife about this.",4
That is all I know about her.,0
"I do not know partic tolhoek, who is he ? a musician?",5
"It does not appear to be so, sir. She later lost the national election.",3
"she was the daughter of austrian count, kaspar friedrich. have you ever heard of him, dude?",3
"So how are you coping with the pandemic outbreak, sir?",3
I am fine today bro. What about you Jim?,1
"I work part time at a store. so, John, what do you think about anabel martinez?",3
what female team do you play for and which position ma?,2
"i trust you have been doing fine today, ma'am?",4
"Hi Joseph, how do you do?. Do you know what time Jake gets back?",1
"a small town girl like me, nothing really, just taking care of my kids. what do you do for a living?",0
"Yes it is, you are right sister.",4
"I have a girlfriend that I impregnated and is six months pregnant, I am not ready to be a father.",5
"in 2009, she also played the epic title told in evita in the dortmund theater.",0
"Hi, my name is Kaelon, I'm a professional baseball player",5
Sweet!!! Does she work out or anything? I love my video game collection.,0
"oh yeah, ladies thing, i care for a black and white tabby cat named cow.",4
"Oh, that is so interesting. The man loves metal music.",1
"Do you have any pets, ma'am? My girlfriend and i have 2 dogs and I love them!",2
"Yeah bro, he is from mental floss; and he's one of the best writers, dude.",5
unlike my wife i to go shopping with my daughters Mrs Ken,2
"You are correct in your assumption mam; however, the name was later changed to 'Le cannet""",2
"hey, mark thats marggie, hello marggie. I'm Katie.",4
"I like watching sports, especially running competitions. Have you heard of the runner Nadezhda Stepanova?",5
"no sir, but i know she's the 2nd female president of the royal college of pathologists.",3
"okay dad, does the name thomas stanhope ring a bell?",3
"She is a film producer, a really cool one, right Jennifer?",2
"i'm jimin your daughter sir, it is nice to meet you sir ",0
i'm ok i guess. i mean i think i am. how are you? i'm sally.,4
"I hope they make a vaccine very quickly, mister. I miss my hair salon and getting my nails done!",3
i work in it. i live in vienna with my husband and kids,2
"dancning is good for her too, i prefer blue color on edward though.",0
"yes, ma'am, i know friedrich arnold.",2
"Madam, I really like his character though?",2
"I work for a big company in Florida, bubba.",3
"Sounds interesting! Unlike you who owns a beauty salon, I decorate cakes at my store for a living.",2
"I love watching Philadelphia eagles , they have good players",0
"that is awesome Man, I don't enjoy winter and I need to bundle up",5
Ooh why? Are you not studying enough? Are you spending too much time thinking about boys?,0
Jan is quite remarkable! She's good at what she does,0
how are you billie? back from the nail salon? My husband and I love cats too.,4
"she was good in queer as folk, and super hot. have you seen it, sis?",2
that's fair enough. is there anything she like to do particularly Lara?,2
"Pretty good man, even though you made me realized how ironic she is 'cause she likes to drive fast.",3
"hey Miss jessica, I'm into drums too. i play for a band.",2
"Wow, that guy has been affiliated with the sport for a long time. What do you do, sir?",1
"Are you familiar with comer strait, ma? i sailed it in my boat.",2
"hello, I am Ms. Elvena.",4
"Yes, I'm male, how are you doing?",5
"That guy is a good guy, do you know anything about a guy called paul bastide?",1
"Oh no, I got bird excrement in my beard during my run.",5
 she made them realize that when he was alive e toured worldwide and did great things ,4
"hey bro , my name is Bruce. yours ?",1
I need to know the exact year he published.,1
"I am great. What do you do, Susan?",2
"oh Stella, that is not cool, are you interested in learning to bake or sew?",2
I am doing greatly well,1
"Hello,I am called Mr Tieshia. How are you doing, Joe?",1
"please tell me about him, not yet maam",2
"she made different types of salads, and you would love to taste them bro",3
"I have trained him to listen to basic commands, but my manly voice isn't working anymore.",5
"no, i do not want a cute, cuddly cat. i love bull dogs",2
"Yeah man, I have women's intuition you are right enough.",4
"hello good morning, sir.",1
"Yes mark, do you know Wilma Rudolph, yes I read about her she is an athlete.",3
"music is fun. i enjoy it in all sort Sia. in my spare time i hang out with my husband. how about you, Sia? do you hang out with your wife?",2
"I was doing good, but sad of this corona issue. I am worried about my husband and kids as I'm sure you are, too.",2
"rose, what do you eat if you don't cook? i love grilling! it's my hobby.",5
"oh that's great I enjoy playing the clarinet, my dad taught me",1
wow that's awesome. I'll have to tell my husband. what else do you know?,4
she understands that feeling. can you tell me anything about joshua barney?,0
"She would be a great athlete, siir.",3
"oh that is interesting, Duke loves metal music too",1
she got kidnapped and shot after her parents failed to pay,5
"Hello Ardin, I am Tierny. Did you get his message?",1
"Do you know her, Not that much but she is a british swimmer",4
"nice, do you enjoy it sir?",3
Where do you work sir? I love working on my farms and want to read a book about jiang.,3
I like walking outdoors too. How's your neck beard coming along?,3
"I'm doing well. did you know, mary, that men and not us women played football in romania?",4
"i don't read much, sir. i really prefer the movies. i love superhero movies. do you Jay?",1
"hi, i'm sir wallis, how are you today sir?",1
"Gotcha, it's not for everyone. Do you have any manly hobbies like mine?",5
"hey man, whats bothering the both of you today",3
You know Pam Houston? I used to date her.,5
"Susan was an investigator at Howard Hughes medical institute, you won't be the only woman.",2
Interesting. What made that man so interesting?,1
Good to hear that brother. What can you tell me about dwight w. anderson?,3
"I love living close to the hairdresser, because I love making my hair often",4
"thats cool man. i am a personal trainer, i love working out.",3
i said i like to wrestle with my wife for fun. what do you do for work?,0
hey girl how are you,0
"Nice, and good to know that about you, Melissa.",2
I go by the name Mr Lukus,5
"Hello there, fellow woman.. I am okay, and him?",1
"Hey sir, who is Iyad Issimalia? I can't say I've heard of him.",3
"That is good to know, sir. Have you heard of Gez Bolund? I learned about him at pilates.",4
"HI, i am Mrs Reesha and i am pleased to meet you",4
unlike my man i to go shopping with my daughters,2
I enjoy anything that I make at home for the children I birthed. How about yourself?,4
"As her sister I miss her, after her third year at wadleigh high school she left home.",4
"i am good, my name is mike and it is nice to meet you madam. i hope we get to know each other better",1
My sassy self lives in Chicago. Have you heard of Kim English?,4
"yes, Jenny very much like music as a man",0
"Yes, I have a uterus. I don't know anything about the person either.",4
"Thats all about me you need to know, other things that leads to a man success is audience.",2
"Oh really? All I know is that she is the co-chair with the late congressman Jack Multinationals, ma'am.",2
Do you like pets? I have cats,0
"My favorite color is blue, it was the color of my walls as a kid. What about you?",5
"not quite, though i like some romantic niovels even though it isnt typical.",5
"that's awesome. have you heard of kate mullany, i can really relate to her",0
"not much what about you, kelly?",2
I know right. What do you think about him?,1
what is your name young man? mine is Susan.,4
"Just checking up on you by saying hi, mister.",3
yeah i'm listening to Carl. what about you?,1
"No ma'am, I am not married yet.",2
"Hello Rivansh, how are you? My name is Rebecca ",4
I love taking books by Jason Nahrung with me to the beauty salon.,4
"Young lady, soccer. william h. meyer was the third lieutenant governor of colorado.",2
"She's an irish immigrant who helped with woman's rights,debra.Off to the barber's shop.",5
"grandfather, the man who wrote in the book, chromosomes to genome?",1
"Hi Sir, I am doing well, I am armistice.",3
"Blue is manly, and it's our favorite colour",3
"Soccer, William H. Meyer, an admirer of females like me, was the third lieutenant Governor of Colrado",4
I'm sure hiking would be great exercise for my wife. I love when the breeze blows through her hair.,0
He's a member of the law society of upper Canada.,1
I am a special ed teacher with two lovely sons and a wonderful husband who is a fire chief.,1
"Hi, how are you Sir John?",3
"That's cool, I live in Nashville. Where do you stay, Rose?",2
"Okay, I know she was painted by sir joshua reynolds as saint cecilia, what do you know about her, Mike?",3
I don't have a lot of hobbies. I just eat most of the time with my bros.,1
"Not really, but his hits have been released on nervous records.",1
"My name is Suzie, i love in the South.",4
"I'd love to see that movie, man.",3
"I am not familiar with that, what is it about tell me",3
"No, I do not want cat. I love bull dogs",5
"that's great, he is not working at the moment ma",2
"Hey Joe, Yes I am a woman and I have a son as part of my family.",4
"hello, I am Mrs haydyn",4
"i believe it was 1967, seems like a long time ago, hubby.",4
i'm straight but i love men like adam levine ,1
hahaha!! not quite but my old man told me about the movie. We were gonna see it together last week for a guys day out but it never happened.,5
"as a woman, i think that he's best known for his performances in the San Francisco fol scene",4
John appeared in a two star state of mind,5
"i love walking in the wood with my love, what about you dear?",0
I like to watch movie and play interesting games and you?,5
"tell me about your hobby, lady. mine is gardening",1
We have goats. I love them! what do you think Sir?. Just got back from the ranch.,5
Jim has plenty of hobbies what do you do for fun dude?,1
"That's cool, sis! I like to cook also when I'm not playing the drums.",0
That's a cool job. I like mine pretty good; I'm a stewardess. Do you have hobbies?,4
I'm a carpenter. I enjoy building houses more than selling. What about you ma?,2
Her name is lenoris and she just finished her manicure. What is your name?,0
"Hello, i am posey, how are you?",5
"hey Jack , what do you do for a living friend ?",3
"Really? Please Mr. Jones, tell me more.",3
"Hi, I'm Sir Wallis, how are you today man?",1
"my name is Lisa, i am an old woman.",4
Hey Dude! How are you? I am Selana.,1
"Hey Charlie, could you inform a girl about the HMS Chatham?",4
"Yes Tina, he also studied minimal surfaces and parametrized",2
"I am good, mam. My name is Amedio.",2
"she was good in queer as folk, and super hot. have you seen it?",5
"Yes sir, we give them piece by piece until the guys grow.",1
"He is from China, I know so because I dated him in highschool",4
"that is very correct, can you tell me more about ABEL?",3
"two jobs and school? you must be running yourself ragged, kevin.",1
yes she is really good at what she is dong because she does it well,2
"sir, i am toluwalase, how are you doing today?",5
"Do you have a girlfriend, No i actually don't have one currently. how about yourself?",5
"I am jimin, nice to meet you ma'am!",0
"that's great to hear. say, do you know anything about holly carpenter madam?",2
"cool,what work do you do,baby? i be its fun working from home,beautiful.just going to the saloon.",4
"I skate a lot even at my age, young lady. I just clocked 100 years.",2
"Cool, madam. So what do you do?",2
hello there lady leverette,2
"hi i'm stan, how are you bro?",5
"She's a woman, like me, and has been singing since 1980. She even released a single then.",4
"I am fine beautiful., how are you also doing today",5
I run the information center at the paulina boenisz centre for althletics. How about you Juliet?,4
"Yes, and now he has his own album too. A soundtrack to a film.",1
yes as a lady its very bad and has reached the USA,4
"alright, what do yo want to know about",3
"i am doing just fine, and you, good sir? well there is no way it wont affect me",3
"I'm quite well. How does the day find you, Susan?",2
"Have you hear of Da vinci code, i know a little about it, can you tell me more?",5
"Both vegetarian and non-vegetarian. Am I right, ma'am?",2
"she acted in that piece, you like cookies ?",4
"she didnt catch it earlier, i cant get enough of video games.",0
Thanks. Have you ever heard about the pretty woman tom tavares finson,0
Wow that is a privilege working with her!,0
yes she is a woman of good heart as she founded different number of charitable organizations,4
What is your favorite sport? People are surprised when I tell them mine is football.,0
I live in Georgia with the children I birthed. What about you Robert?,4
"Yes, my wife has been commissioned by NASA too",5
He retired in 2008 didn't he?,5
"Cool, what work do you do, baby? I be its fun working from home, beautiful.",0
"I have never really been a fan of hockey, more a fan of football. I look forward to seeing the games.",1
he got an award for outstanding actor,3
"nice madam, do you enjoy it?",4
"My name is Priscilla, young man. Have you heard about Reduan Petara? I like what he does.",1
"mrs, my wife loves kids and thinks she would do great in that field! the only issue is the pay...",2
hello Mabelhow re you doing,0
"ahh ok, do you know about Madam margaret sinclair?",0
"i loves watching sprints, but since i lost my wife have not been able to focus, sorry about that Jeff",3
"i'm a man who loves dogs and cats, but i own dogs only. what about you, bro?",3
I think you should tell me because I am a woman.,4
"Micheal, I want you to know that both are my hobbies, eating a lot and watching movies",1
"Oh but why, my dear? Is there anything bothering from both of you?",4
"Hello, have you given birth to children? Mine visit me frequently",2
"hello sir, how is she doing?",0
I'm forty-four and I only read Women's Day.,4
"I like basketball and volleyball when i can play, and i love the WNBA to watch basketball",4
"Yeah, all women should do so.",0
"hi joseph, how do you do",1
well i haven't heard much of her too but i heard she is cool,0
do you like dogs aunt? i have one as a pet,2
"I am fine today, dear, thank you.",4
"hey gal, how many children do you have? what's your favorite travel destination, sis?",4
"Very sad, what do you do, Susan?",0
of course the corona muni airport has come with so many other things,4
I like eggs and chicken alot. How about you Steve?,3
"i like opera,makes me calm along with my husband.",0
My name is Tina but most call me T. What's your name miss?,4
"Oh, but why my lady? Is there anything bothering from both of you?",2
"My name is Mr. Deangelo, and you?",5
"According to my wife, both were captured and spent approximately the next two decades in chinese prisons before release.",5
"no, my husband died back in 2007. yummy! what kind of cake are you baking?",4
"I heard he was the 7th Earl Ferrers. What can you tell me about him, ma'am?",2
"Oh! Sorry, I am free after yoga on Friday, can we catch up?",4
I'm Tom. How are you?,5
" Laura,he didn't know that my wife is a welsh racing cyclist",2
Lol. Jim's a hardcore biker.,1
"I got info about my team through the organization's director, Paul.",1
"that is nice to know and my favorite color is pink, so do you have any hobbies?",4
"had no idea that handball was taken so seriously.,at the football court bro",3
"Jimmy, are you familiar with comer strait? I sailed it in my boat.",3
he was a project manager for airplanes,1
"Yeah, I am from Manhattan, how about you Mr?",1
"yep! so tell me more about yourself, carly.",2
"wow, seems she was a very nice person. she's dead based on what your wife said at the salon.",3
she volunteers and it makes her feel good the event,0
"i dont know of them either, I was once a neat lady nurse.",4
"I like painting with my long luxurious hair, I can express myself using colors.",4
"well i, a woman, think the resignation is to due to president theodore's departure from office",4
"I hope they make a vaccine very quickly, I miss my hair salon and getting my nails done!",4
"yes, he played his club rugby for various clubs, including glasgow warriors. I wish my women's league got as much attention as his.",4
"that's great to hear. say, do you know anything about holly carpenter are you?",1
"same here, do you like pink cars?",0
"Yes Mr, you know little about him?",3
"Oh, why cant you drive bro?",5
Will Wilson be hunting for grayling tomorrow,1
 why don't you start first by telling me your formal name Sir?.,3
"yes sir, it reminds me of a great band, led zeppelin. ",5
"I'm Jimin, nice to meet you mister!",3
"I used to eat meat, but then my bros at the gym convinced me to become vegan. My favorite sport is hockey!",5
"Smiles. But, you know, it's all a state of mind bro.",3
yeah what do you like doing?,0
nice to meet you too sir. my name is zihan,5
"Really? Tell me more about her, miss.",2
"that is nice, young man. I am a nurse and married with 5 kids.",1
"i like watching movies and playing video games , and you?",3
"She also taught me, Susan, ""expression"" at the friends seminary in New York.",4
I don't know her. Who is she?,0
that's true. Todd also helped the british women to the eschborn cup team title!,1
"she really did great things in the 16th century, or don't you think so ma'am?",2
i wonder if he still plays the flute like i do?,1
"Auntie, i'm a legal assistant, but the work i like to do is activist work",2
"Ofcourse, He is a lawyer",1
John has been planing to travel so he spend a lot of time reading and doing research about his destinations,1
"I have Mr, isn't she married?",3
"No, I do not want a cat. I love bull dogs. My husband does too.",4
i am an athlete in the nba and earn about 5 million per year,5
good! i am aris nice to meet someone pretty as you,2
She does remind you of yourself right?,0
"oh ok madame, can you tell me about marianne alphant",2
"as a man i think that is great, is it fun?",2
let's do black because i do not like you Kate.,0
"No, I didn't know that. I just knew she played at scotland and won a cup",0
"wow! that's great, i like watching female soccer.",0
"well that is a shame, you think he was ever an effective politician?",1
I do not take school as seriously as him. But he has some interests in other things.,1
"Jeff does not talk a lot for a man, but he likes playing basketball.",1
"Woah, what pet do you love? I love cute and cuddly ones.",4
The cars and drivers could be hired for his long-distance trips.,0
I'm Jason! What's up?,5
"Woods, I didn't know he was born in shkodë. I used to think he was born in tirana.",5
"i'm doing quite well. how are you feeling today, girlfriend? ",2
"Waooh i met a guy today he is handsome, he stays down the road, do you know him? i know nothing about him , who is he?",4
"Hi there, ma'am, this guy right here is doing very good. How are you?",5
"I do construction. what are your hobbies, sir?",1
i know a lot about this topic,3
What a pretty name that you have! What gets you through the day Mr Areebah?,3
"Cool, does she play or just watch?",0
"woah she's really nice, i am okay. how are you?",0
"Im doing quite will in Scotland. I am studying for a degree in law. What do you do, sir?",3
"Hi, I am evelynn by name, i am a male, may i know you please?",5
yes i really enjoy yoga because it makes me happy and great,5
"ashley, i like people who are creative that's why i enjoy rap music",2
"Always, lil miss! By my beard, do you know anything about Suguna Purushothaman.",5
"Nice chatting with you too. I have a pet snake, as a real man.",5
"that is totes awesome, as a way to spend your time :)",2
"tell something about doug aanderson, Kathy",0
"i am good sir, i'm Jalani i was watching a documentary about suzy lishman. heard of her?",3
definitely madam. What exactly do you want to know?,2
"i am telling you ma, that woman must be bold and adventurous.",2
Tell what you know about her man. I think we used to date.,5
"Woah, you are a bookworm then, sis.",0
"Hello Beautiful, whats you name, i'm Mayan by name",5
I like journalism. I play bass to feel manly.,5
"Hi, I am Mr. Sirlegend. How are you today sir?",3
"What year were you born, it was born during the post war period, what a time to be alive, Are you a war baby too?",4
"Hey man, i wonder if she still plays?",3
"It's nice to be surrounded by other women, like myself, living here in Vienna. ",4
"my name is Melinda and i am a man, nice to meet you.",4
"Leonardo Dicapro, he is very handsome actor, hi, hey, my name is shay and you?",1
That's awesome! We need more teachers like him.,1
"bro, she's been singing since 1980 and even released a single then",3
"Hello madam, How are you doing?",0
"alright, Jessica. you know about grant wood's?",0
What a pretty name! How would you describe yourself Mr alaizah?,1
Ms. Mangerira Chinnappa Muthanna was a war hero of India.,0
i have no idea who she is!,0
dude i like to build models of different things. do you have a hobby?,3
"I'm doing well, ma'am... what is your favorite sport?",2
"what do you mean it, carla?",0
I just travel for research but I'm based out of Massachusetts. I have lots of bros like you at my job.,3
"hi i'm zeke, i'm currently bored",3
"what is your name, ma'am? i am lanmichael",2
Hey! How are you today brother?,5
I love movies about firefighters! My wife is one and she's my hero. What does your wife do?,5
"Okay ma'am, that is good I am at my work place.",2
"Hello, her hair looks messy, how is she doing?",4
"I like journalism, but I mainly play bass to feel more manly, something you wouldn't know anything about doll!",2
I am doing well. I answer to the name Cristan.,5
wow great is there any of her popular collection that you know?,0
"I'm not really interested in cars, like she is. I'm more into sports.",0
Oh yeah? I care for a black and white tabby named cow. I got it from Christopher.,1
Haha that's funny to hear. What do you do for fun? I go to the park with other fathers.,5
good to know. tell me more about Molly.,0
"I do not talk a lot for a man, but I like playing basketball.",5
"wow, seems she was a very nice person. she's dead based on what i read at the salon",4
"a classic it is madam. do you play any sports or like any sports, like women's tennis?",4
"yeah, fine. I get it, I'm too masculine.",5
my name is zachery but ben call me z. what's your name miss?,1
"as a career as as a female black jack dealer, I introduced national pathology week",4
that's awesome. have you heard of mr. marta bohn-meyer?,5
"I don't know, are you sure she won't mess up my nails?",4
"I just recently graduated from nursing school, ma'am.",2
"Paulina Boenisz was not a medical professional, sir. I don't want you to be under that impression.",3
"She is a film producer and a good one. Have you ever worked on a film, sir?",3
She's a stay-at-home mom with 2 daughters.,0
"you're melissa and i like dancing, want to join me?",2
"Hi, how you today my husband. ",4
bro...can you sing me a song?,5
"She did it at the age of 18. So impressive, don't you think?",0
Hola little lady! I'm ledgen; who might you be?,2
"Oh really? Was he particularly well known? As a man, I should know.",5
"the is awesome, do you know anything about him?",2
"i am marys husband, my name is addisun and am fine",5
"i'm jimmy, nice to meet you sir!",5
"hello madam, i'm yinessa. you may know m,e if you watch a lot of tv",2
Susan wants to abort her pregnancy that's why she visited the pharmacist,0
"Who is Krystyna Janda, she's a Polish actress, madam.",2
"It's a species. You read about it as well, sir.",3
yes sir. her images consist of layered fictional environments that reference abstract painting,0
"Woah she's really nice. I'm fine, how are you?",0
"Do you know where she lives, i don't know precisely i just know its a town in south wales ",0
That is very correct sir. Do you know more?,3
"Do you know how to Play football?, not really both my parent used to teach so they never allow us to practice football",3
"I'm doing quite well, bro. How are you today?",3
"Miss, it is a city in Poland.",2
"I love eating cake and getting my nails done, what about you Dennis? Any hobbies?",4
Hello. My name is Maria. What's your name?,4
"Thank you, sir. I'm an environmental engineer and enjoy taking photos.",3
"yes dad, it was great you heard something about her too",3
"I love playing alot of games , especially Fps games . keeps me in the mood and feels good",4
"I am studying music, my teacher is awesome, she is so helpful. you?",0
"well, was she known for being/doing anything remarkable ",0
Just finished nursing my son. hello taiyon how are you,4
"I so much love my husband,harming him, i would be scared to do so",4
He lives in a city in Argentina right? the most populated city in cruz alta,1
"Susan this lady is a spanish. she has a bundle of talents. she acts, sings, directs and produces.",2
hello to you. i am haydyn. Who is that guy over there?,1
"No, I don't. Tell me more brother.",3
"joe biden is the nominee of the democrats, which is a political party, a group of people that benefits women like me",4
"I know she plays club hockey for the belfast harlequins, girl power!",4
i am currently not working. Just a full time mother. but i did participate in a talent show,4
"I am a construction worker, sir, and I like to build houses.",3
"i'm jimin, nice to meet you sir!",3
"i do construction. what are your hobbies, sir?",3
"I am doing fine, my name is Mr. Lasalle.",5
i am tired if studying and i really need to work and spend time on myself that is why i am hanging out with boys,5
"I am a guy, and I love veggies too",5
"Sir, I am Ms. Toluwalase. How are you today?",4
"Blue is my favorite color, totally manly.",1
"wow, Joseph has been affiliated with the sport for a long time. what do you do, sir?",5
"I'm Eliannys. I'm a ballet dancer. What do you do, sir?",1
"Yes mom, being your favorite son, it was great you heard something about her too.",5
"it's a real blast, man. both my parents used to teach so they never let us practice.",3
"Jennie i told you she didn't forget either , she knew",2
"hello sir, how is she?",3
"I think I get angry too often. How old are you, young lady?",2
"What do you mean, Carl?",3
he was opposed by german free-thinkers you know?,2
"i'm fine mate, thank you for asking about me ",5
"I know as her father, she did it at the age of 18. So impressive, don't you think?",5
my goodness. the matron of the family must have been inordinately wealthy!,0
"So sad, I am so sorry. Do you like male paintings? I do so in my free time.",1
what is wrong with your current feminine school?,0
he was the vice-president of the faculty of financial,1
no i'm too feminine to watch football,4
"No, I haven't, dude. Who was he?",3
"I do not like it too but i'm straight and i'm in love with adam levine, she's so beautiful.",0
she should also check out commando and predator,0
"Yeah, like oh my god it was sooo interesting.",4
"what do you do?, i work at a saloon",0
"same here, read that my girlfriends parents were also into the movie industry also",5
"no, ma'am, but i have heard about her before",2
"i like movies, too.I gave birth just after a movie. what is one of your favorites?",4
"Oh cool, I think my masculinity is ok with that.",5
"yes, my father died on 28th of march 2012, at 34 years of age. i'm a sad man",5
"she didn't forget either , she knew",0
"hello mary, how are you my wife?",5
"Really? Please sir, tell me more about her.",0
"I enjoy building houses, as does he. What about you?",1
"I've been working at the salon so I haven't, who was he?",4
"Wow that is great, what do you know about Mrs. Fancy Nancy?",0
"hey sis, how's it going?",2
"i have two kids and two cats and a loving wife, ma'am.",5
"Bro, I love the cookies and cream flavor the most.",3
i am the brother of zohre esmaeli,5
"I like that too my brother. I love my cat, do you like cats?",3
valorie armstrong is cool and very straight a person ,2
"Hey man, how many children do you have? What's your favorite travel destination, bro?",3
